target_lang|closest_lang_0|fixed_dist_0|closest_lang_1|fixed_dist_1|closest_lang_2|fixed_dist_2|closest_lang_3|fixed_dist_3|closest_lang_4|fixed_dist_4
hrv|ncl|0.5|yre|0.5|mqb|0.5|mil|0.5|nca|0.5
hto|cax|0.5|ikk|0.5|yka|0.5|jiv|0.5|bzh|0.5
hub|ita|0.5|tee|0.5|cya|0.5|gub|0.5|kaq|0.5
hun|qvc|0.5|con|0.5|wol|0.5|lao|0.5|cax|0.5
huu|knf|0.5|ncl|0.5|ell|0.5|chv|0.5|ibo|0.5
huv|kfx|0.5|boj|0.5|hlt|0.5|acu|0.5|bnp|0.5
hvn|crn|0.5|mxb|0.5|kvn|0.5|kdl|0.5|xtm|0.5
hye|cjo|0.5|mjl|0.5|pib|0.5|ukr|0.5|urb|0.5
iba|yal|0.5|nas|0.5|ekk|0.5|tbg|0.5|hin|0.5
ibo|dgr|0.5|mie|0.5|zam|0.5|cgc|0.5|kdc|0.5
ign|tav|0.5|boj|0.5|sgb|0.5|fon|0.5|quf|0.5
ikk|pes|0.5|knf|0.5|mee|0.5|msy|0.5|jvn|0.5
imo|qvs|0.5|kue|0.5|qub|0.5|knf|0.5|nhe|0.5
inb|ztq|0.5|qve|0.5|agr|0.5|sus|0.5|cym|0.5
ind|poi|0.5|kdl|0.5|rus|0.5|mkl|0.5|huv|0.5
iou|urb|0.5|kik|0.5|tam|0.5|aia|0.5|grc|0.5
ipi|car|0.5|rai|0.5|mal|0.5|kat|0.5|cle|0.5
isl|jvn|0.5|lid|0.5|urd|0.5|yre|0.5|mlt|0.5
ita|mbc|0.5|tnp|0.5|kfs|0.5|taj|0.5|zac|0.5
jac|mkl|0.5|pes|0.5|qve|0.5|quf|0.5|isl|0.5
jav|udu|0.5|pad|0.5|qvn|0.5|sus|0.5|inb|0.5
jic|cnt|0.5|mib|0.5|zyp|0.5|ben|0.5|pir|0.5
jiv|ncj|0.5|tcs|0.5|gvc|0.5|mio|0.5|npl|0.5
jvn|obo|0.5|crn|0.5|zpz|0.5|kje|0.5|cpb|0.5
kam|mib|0.5|blz|0.5|sey|0.5|lin|0.5|amk|0.5
kan|sey|0.5|azj|0.5|luo|0.5|por|0.5|not|0.5
kaq|zai|0.5|stp|0.5|prf|0.5|cot|0.5|cpb|0.5
kat|tpi|0.5|nhe|0.5|zsm|0.5|atb|0.5|nld|0.5
kaz|zaw|0.5|xnr|0.5|acu|0.5|tos|0.5|ded|0.5
kdc|ote|0.5|gai|0.5|yor|0.5|mca|0.5|ziw|0.5
kde|kwd|0.5|ruf|0.5|zam|0.5|bfz|0.5|vid|0.5
kdl|ltz|0.5|meq|0.5|cni|0.5|cnl|0.5|swh|0.5
kea|kyf|0.5|lvs|0.5|wap|0.5|inb|0.5|gle|0.5
kek|agg|0.5|ast|0.5|pab|0.5|qxo|0.5|yad|0.5
ken|lww|0.5|bjr|0.5|lex|0.5|nko|0.5|zty|0.5
kfs|mit|0.5|npl|0.5|ngu|0.5|zaw|0.5|atg|0.5
kfx|sgb|0.5|ign|0.5|hub|0.5|llg|0.5|kan|0.5
khm|gle|0.5|ncl|0.5|lbb|0.5|mib|0.5|tuf|0.5
kik|ell|0.5|bos|0.5|nfa|0.5|ceb|0.5|cot|0.5
kje|mqj|0.5|qvn|0.5|kdl|0.5|bao|0.5|kwd|0.5
klv|con|0.5|msy|0.5|gyr|0.5|swh|0.5|acu|0.5
kmu|mco|0.5|mcp|0.5|loz|0.5|zpm|0.5|jac|0.5
kne|mox|0.5|omw|0.5|mio|0.5|urd|0.5|vie|0.5
knf|xon|0.5|huv|0.5|ceb|0.5|tbc|0.5|cym|0.5
knj|mbt|0.5|mal|0.5|bgc|0.5|kfx|0.5|emp|0.5
kor|tuf|0.5|gym|0.5|dik|0.5|ded|0.5|pls|0.5
ksr|fra|0.5|caa|0.5|bzh|0.5|bpr|0.5|xed|0.5
kue|dah|0.5|gum|0.5|ycn|0.5|mih|0.5|wmw|0.5
kvn|qvs|0.5|maq|0.5|bzh|0.5|pol|0.5|gbk|0.5
kwd|suz|0.5|ura|0.5|gym|0.5|npl|0.5|lww|0.5
kwf|tpt|0.5|knf|0.5|kmu|0.5|bzh|0.5|zai|0.5
kwi|bgc|0.5|xtd|0.5|arb|0.5|zsm|0.5|poy|0.5
kyc|guo|0.5|ben|0.5|ded|0.5|hau|0.5|kam|0.5
kyf|zar|0.5|dik|0.5|nfa|0.5|mjl|0.5|ipi|0.5
kyg|fon|0.5|azg|0.5|cab|0.5|atb|0.5|cek|0.5
kyq|tac|0.5|pol|0.5|ctu|0.5|kyz|0.5|shp|0.5
kyz|ata|0.5|ruf|0.5|zav|0.5|kmu|0.5|pib|0.5
lac|amh|0.5|maj|0.5|zpz|0.5|tbl|0.5|qxo|0.5
lao|mxt|0.5|mcp|0.5|ttc|0.5|arl|0.5|stp|0.5
lat|cbc|0.5|iou|0.5|bps|0.5|msy|0.5|not|0.5
lbb|otq|0.5|bjr|0.5|ind|0.5|alp|0.5|mto|0.5
lex|yaa|0.5|klv|0.5|kdl|0.5|cat|0.5|wmw|0.5
lgl|zpo|0.5|quh|0.5|dik|0.5|bos|0.5|atb|0.5
lid|atg|0.5|kat|0.5|fil|0.5|tgp|0.5|wmw|0.5
lin|myy|0.5|bgt|0.5|pst|0.5|nhy|0.5|rus|0.5
lit|mbh|0.5|rai|0.5|yre|0.5|kyz|0.5|azg|0.5
llg|ote|0.5|nab|0.5|cme|0.5|hns|0.5|bos|0.5
loz|bnp|0.5|azj|0.5|hns|0.5|nya|0.5|nko|0.5
ltz|mio|0.5|acf|0.5|awb|0.5|tbc|0.5|ipi|0.5
lug|meq|0.5|spa|0.5|slv|0.5|mcp|0.5|gwi|0.5
luo|pab|0.5|guo|0.5|azj|0.5|heb|0.5|nya|0.5
lvs|kdc|0.5|oci|0.5|ast|0.5|mjl|0.5|mxt|0.5
lww|cpb|0.5|awb|0.5|azj|0.5|bnp|0.5|zav|0.5
maj|tnn|0.5|klv|0.5|nin|0.5|qxn|0.5|tee|0.5
mal|muy|0.5|yka|0.5|nca|0.5|huv|0.5|spy|0.5
maq|zty|0.5|fin|0.5|car|0.5|alp|0.5|agd|0.5
mar|toc|0.5|mpm|0.5|ote|0.5|chz|0.5|mee|0.5
maz|fon|0.5|mbt|0.5|cmn|0.5|taj|0.5|zad|0.5
mbb|lat|0.5|meq|0.5|bmu|0.5|nas|0.5|not|0.5
mbc|mcp|0.5|mbj|0.5|pib|0.5|apb|0.5|grc|0.5
mbh|cax|0.5|mih|0.5|nhu|0.5|mca|0.5|soy|0.5
mbj|dan|0.5|bps|0.5|geb|0.5|ncl|0.5|kaq|0.5
mbt|mxt|0.5|yor|0.5|wap|0.5|mto|0.5|zad|0.5
mca|ind|0.5|ncu|0.5|qub|0.5|quf|0.5|huu|0.5
mcb|sgb|0.5|qvh|0.5|kyq|0.5|cnl|0.5|rgu|0.5
mcd|suz|0.5|soy|0.5|knj|0.5|lug|0.5|wol|0.5
mco|tew|0.5|taj|0.5|snp|0.5|bgt|0.5|ncj|0.5
mcp|qve|0.5|snp|0.5|msy|0.5|bkd|0.5|nch|0.5
mcq|ron|0.5|cso|0.5|zar|0.5|tac|0.5|heb|0.5
mdy|mxq|0.5|nld|0.5|bqc|0.5|bzh|0.5|som|0.5
med|llg|0.5|vid|0.5|hin|0.5|mri|0.5|ame|0.5
mee|kue|0.5|lit|0.5|hat|0.5|cni|0.5|lvs|0.5
meq|swh|0.5|xed|0.5|boa|0.5|bus|0.5|qve|0.5
met|mqb|0.5|ory|0.5|agu|0.5|mlt|0.5|luo|0.5
mgh|gyr|0.5|udu|0.5|loz|0.5|ind|0.5|kam|0.5
mib|geb|0.5|mgh|0.5|hau|0.5|pjt|0.5|mcq|0.5
mie|hin|0.5|myy|0.5|zaa|0.5|heb|0.5|klv|0.5
mih|agr|0.5|slv|0.5|wmw|0.5|gle|0.5|kyq|0.5
mil|azz|0.5|nhy|0.5|por|0.5|deu|0.5|tur|0.5
mio|zpc|0.5|atb|0.5|ote|0.5|sdh|0.5|lww|0.5
mit|ben|0.5|mil|0.5|hvn|0.5|zyp|0.5|zpz|0.5
miz|cwe|0.5|maj|0.5|otq|0.5|zca|0.5|cbs|0.5
mjl|sab|0.5|qve|0.5|urb|0.5|cmn|0.5|sna|0.5
mkd|mcd|0.5|apb|0.5|kaq|0.5|kat|0.5|kyq|0.5
mkl|chv|0.5|qvw|0.5|nya|0.5|kam|0.5|ign|0.5
mkn|stp|0.5|arb|0.5|cme|0.5|spa|0.5|ron|0.5
mlt|qvc|0.5|guj|0.5|tac|0.5|lgl|0.5|chv|0.5
mop|inb|0.5|pir|0.5|gbk|0.5|zpc|0.5|lit|0.5
mox|vmy|0.5|azg|0.5|slk|0.5|cbu|0.5|lit|0.5
mpm|dik|0.5|mib|0.5|mee|0.5|ast|0.5|qxh|0.5
mpp|cek|0.5|glg|0.5|ikk|0.5|djk|0.5|myk|0.5
mpx|tac|0.5|zai|0.5|zga|0.5|wol|0.5|kan|0.5
mqb|agu|0.5|hat|0.5|lit|0.5|ikk|0.5|ces|0.5
mqj|kdl|0.5|hto|0.5|bqc|0.5|lat|0.5|tbc|0.5
mri|qve|0.5|qvm|0.5|zam|0.5|seh|0.5|kan|0.5
msy|mkd|0.5|dgr|0.5|tur|0.5|cco|0.5|cuc|0.5
mto|pjt|0.5|hlt|0.5|ind|0.5|zam|0.5|gbk|0.5
muy|pls|0.5|bps|0.5|cwe|0.5|pad|0.5|cni|0.5
mxb|lat|0.5|aia|0.5|shp|0.5|xon|0.5|ame|0.5
mxq|gwi|0.5|kek|0.5|tte|0.5|ziw|0.5|gyr|0.5
mxt|npl|0.5|car|0.5|rug|0.5|bjz|0.5|ruf|0.5
myk|mqj|0.5|iou|0.5|pst|0.5|tgk|0.5|kor|0.5
myy|lbb|0.5|klv|0.5|muy|0.5|dgo|0.5|bjv|0.5
nab|nld|0.5|eng|0.5|cpu|0.5|tuf|0.5|lex|0.5
nas|kwd|0.5|agr|0.5|cso|0.5|kaz|0.5|mbh|0.5
nca|mco|0.5|mbt|0.5|bqc|0.5|yor|0.5|maq|0.5
nch|cso|0.5|pjt|0.5|gai|0.5|tbc|0.5|ron|0.5
ncj|kyg|0.5|acf|0.5|gux|0.5|box|0.5|gwi|0.5
ncl|seh|0.5|boa|0.5|lww|0.5|gwi|0.5|mqj|0.5
ncu|kam|0.5|lvs|0.5|loz|0.5|luo|0.5|crn|0.5
ndj|guj|0.5|bqp|0.5|iou|0.5|daa|0.5|bul|0.5
nfa|wmw|0.5|dop|0.5|tbz|0.5|glk|0.5|cwe|0.5
ngp|zpz|0.5|gwi|0.5|box|0.5|tur|0.5|jav|0.5
ngu|por|0.5|wmw|0.5|mpx|0.5|zas|0.5|mcp|0.5
nhe|mpm|0.5|lid|0.5|lww|0.5|taj|0.5|tbg|0.5
nhu|kfx|0.5|hye|0.5|zaa|0.5|djk|0.5|myk|0.5
nhw|qvc|0.5|slk|0.5|ame|0.5|agd|0.5|pjt|0.5
nhy|cbc|0.5|lin|0.5|agu|0.5|qvh|0.5|mxq|0.5
nin|ote|0.5|hye|0.5|snp|0.5|ron|0.5|kmu|0.5
nko|imo|0.5|gyr|0.5|ken|0.5|mkd|0.5|yal|0.5
nld|ztq|0.5|slv|0.5|byr|0.5|mjl|0.5|tuf|0.5
nlg|maj|0.5|mcb|0.5|zca|0.5|cpu|0.5|boj|0.5
nnq|prf|0.5|gub|0.5|tbc|0.5|sna|0.5|som|0.5
noa|lbb|0.5|tos|0.5|tnp|0.5|tna|0.5|nhe|0.5
not|zga|0.5|miz|0.5|mqj|0.5|gai|0.5|yva|0.5
npl|tel|0.5|cco|0.5|hye|0.5|ngu|0.5|ood|0.5
nya|slk|0.5|mkl|0.5|mox|0.5|qvw|0.5|bzj|0.5
obo|mcp|0.5|taj|0.5|daa|0.5|mar|0.5|gwi|0.5
oci|srm|0.5|isl|0.5|fra|0.5|bus|0.5|gam|0.5
omw|snn|0.5|urt|0.5|tam|0.5|qxn|0.5|umb|0.5
ood|usp|0.5|pst|0.5|pad|0.5|yad|0.5|qvc|0.5
ory|fon|0.5|qub|0.5|ncu|0.5|mjl|0.5|ztq|0.5
ote|cbc|0.5|mcd|0.5|kne|0.5|zpm|0.5|kat|0.5
otq|mpm|0.5|fin|0.5|kdl|0.5|tcs|0.5|ast|0.5
pab|mkn|0.5|nab|0.5|oci|0.5|qvw|0.5|qxo|0.5
pad|iba|0.5|zab|0.5|djk|0.5|dgr|0.5|rai|0.5
pan|grc|0.5|huu|0.5|udu|0.5|nca|0.5|lww|0.5
pao|hun|0.5|cpa|0.5|rus|0.5|guo|0.5|agd|0.5
pes|acf|0.5|mbb|0.5|fon|0.5|lvs|0.5|mox|0.5
pib|muy|0.5|mio|0.5|yad|0.5|mkn|0.5|gai|0.5
pir|zpm|0.5|bgc|0.5|qxn|0.5|box|0.5|lao|0.5
pjt|lid|0.5|mop|0.5|tgo|0.5|soy|0.5|slk|0.5
pls|mdy|0.5|gub|0.5|bmu|0.5|otq|0.5|mpm|0.5
poi|yaa|0.5|rro|0.5|zlm|0.5|cle|0.5|tur|0.5
pol|arl|0.5|khm|0.5|zaw|0.5|quf|0.5|poy|0.5
por|ikk|0.5|noa|0.5|pir|0.5|swh|0.5|gum|0.5
poy|xed|0.5|ngu|0.5|azg|0.5|gum|0.5|upv|0.5
prf|cui|0.5|wmw|0.5|zpl|0.5|gyr|0.5|swe|0.5
pst|txu|0.5|vmy|0.5|asm|0.5|khm|0.5|afr|0.5
ptu|car|0.5|gwi|0.5|udu|0.5|txu|0.5|dah|0.5
qub|cwe|0.5|tnk|0.5|bss|0.5|kyg|0.5|qvz|0.5
quf|lww|0.5|dgr|0.5|geb|0.5|chv|0.5|xon|0.5
quh|mto|0.5|bzh|0.5|bjz|0.5|sab|0.5|mxb|0.5
qul|zca|0.5|mqb|0.5|soy|0.5|zaw|0.5|mpx|0.5
qvc|jic|0.5|msy|0.5|jav|0.5|rgu|0.5|hau|0.5
qve|apr|0.5|qxo|0.5|geb|0.5|xon|0.5|tav|0.5
qvh|cni|0.5|mcb|0.5|cbr|0.5|dik|0.5|mib|0.5
qvm|tel|0.5|hin|0.5|cbt|0.5|kfs|0.5|sey|0.5
qvn|cme|0.5|qvw|0.5|gyr|0.5|arb|0.5|vie|0.5
qvs|cco|0.5|lbb|0.5|cbr|0.5|cpa|0.5|xng|0.5
qvw|tca|0.5|glg|0.5|rop|0.5|mil|0.5|xon|0.5
qvz|ekk|0.5|ngp|0.5|cof|0.5|jac|0.5|mie|0.5
qwh|xtm|0.5|pes|0.5|mcp|0.5|guo|0.5|cbs|0.5
qxh|cbc|0.5|gle|0.5|ncj|0.5|tpi|0.5|mar|0.5
qxn|xtm|0.5|cbc|0.5|ron|0.5|bul|0.5|otq|0.5
qxo|gub|0.5|yad|0.5|lug|0.5|bqp|0.5|lit|0.5
rai|bjr|0.5|qvm|0.5|daa|0.5|lit|0.5|tcs|0.5
rgu|kwi|0.5|amk|0.5|azz|0.5|pes|0.5|rug|0.5
ron|agg|0.5|pir|0.5|mxt|0.5|ces|0.5|snp|0.5
rop|kwd|0.5|zos|0.5|ncl|0.5|cme|0.5|uzn|0.5
rro|mil|0.5|zab|0.5|poi|0.5|bus|0.5|rgu|0.5
ruf|atb|0.5|mio|0.5|djk|0.5|atg|0.5|sxb|0.5
rug|acr|0.5|bba|0.5|atb|0.5|slk|0.5|pjt|0.5
rus|qxn|0.5|nhe|0.5|sri|0.5|lac|0.5|khm|0.5
sab|chv|0.5|otq|0.5|tbg|0.5|bem|0.5|kvn|0.5
sdh|lug|0.5|tgp|0.5|blz|0.5|rro|0.5|ikk|0.5
